product_id,category,product_name,location_id,year,month,original_value,original_unit,original_currency,price_mad,price_usd,price_real_mad,confidence,precision,collection_method,source_id
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1993,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1993,,408.7000,USD/tonne,USD,3.8009,0.4087,6.0491,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1994,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1994,,412.9000,USD/tonne,USD,3.7987,0.4129,5.7500,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1994,,3800.0000,MAD/tonne,MAD,3.8000,0.4130,5.7520,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1995,,445.0000,USD/tonne,USD,3.8003,0.4450,5.4205,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1995,,3800.0000,MAD/tonne,MAD,3.8000,0.4450,5.4201,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1995,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1996,,436.0000,USD/tonne,USD,3.8019,0.4360,5.2655,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1996,,3800.0000,MAD/tonne,MAD,3.8000,0.4358,5.2629,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1996,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1997,,293.9000,USD/tonne,USD,2.8009,0.2939,3.8392,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1997,,97.7300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1997,,2800.0000,MAD/tonne,MAD,2.8000,0.2938,3.8380,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1998,,2800.0000,MAD/tonne,MAD,2.8000,0.2917,3.7352,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1998,,97.7300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1998,,291.5000,USD/tonne,USD,2.7984,0.2915,3.7331,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,1999,,98.1600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2000,,89.0500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
